Escolaridade da Vitima,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez
Analfabeto(a),237,202,201,168,143,141,121,169,161,145,151,82
Ensino Fundamental Incompleto,1999,1691,1830,1653,1629,1431,1513,1756,1634,1600,1416,758
Ensino Fundamental completo,611,465,497,415,428,396,417,447,440,412,377,197
Ensino Médio Incompleto,823,640,761,687,684,523,615,723,608,696,610,286
Ensino Médio completo,2421,1903,2062,1862,1843,1653,1752,2063,1928,1874,1784,908
Nível Técnico,0,0,0,0,0,0,0,0,0,0,0,0
Ensino Superior Incompleto,523,447,477,460,438,410,400,462,491,499,496,241
Ensino Superior completo,786,685,758,600,634,562,541,660,661,619,598,346
Pós Graduação,0,0,0,0,0,0,0,0,0,0,0,0
Especialização,85,79,90,72,65,49,63,77,77,75,60,38
Mestrado,11,10,14,12,14,20,11,12,16,5,7,10
Doutorado,7,4,3,3,1,2,0,2,1,2,1,0
Não informado,2046,1543,1747,1311,1430,1113,1009,1257,1295,1353,1188,686
