Data Medicao,PRECIPITACAO TOTAL, DIARIO (AUT)(mm),PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB),TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C),TEMPERATURA MAXIMA, DIARIA (AUT)(°C),TEMPERATURA MEDIA, DIARIA (AUT)(°C),TEMPERATURA MINIMA, DIARIA (AUT)(°C),UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%),UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%),VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s),VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s)
2008-08-22,null,null,null,null,null,null,null,null,null,null,,,,,,,,
2008-08-23,null,null,null,null,null,null,null,null,null,null,,,,,,,,
2008-08-24,null,null,null,null,null,null,null,null,null,null,,,,,,,,
2008-08-25,null,null,null,null,null,null,null,null,null,null,,,,,,,,
2008-08-26,null,null,null,null,null,null,null,null,null,null,,,,,,,,
2008-08-27,null,null,null,null,null,null,46.1,29,11,null,,,,,,,,
2008-08-28,0,915.2,9.2,26.5,17.6,14.7,59.3,34,16.5,5.8,,,,,,,,
2008-08-29,5.8,920.8,2.4,14,8.5,4.5,69,30,14.9,4.9,,,,,,,,
2008-08-30,null,926.3,0,15.1,null,2,56.3,28,6.2,1.6,,,,,,,,
2008-08-31,0,924.7,3.1,19.7,11.3,5.4,59.6,29,10.2,3.7,,,,,,,,
2008-09-01,0,921.9,6.4,21.7,14.5,8.8,61.8,28,11.3,4.6,,,,,,,,
2008-09-02,0,917.5,8.5,27.2,19.1,12.1,53.1,29,9.5,4.3,,,,,,,,
2008-09-03,0,914.5,10,29.7,20.6,17.2,55.6,28,16,5.2,,,,,,,,
2008-09-04,11.4,920.5,7.2,11.8,7.2,6.6,100,100,9.2,1.9,,,,,,,,
2008-09-05,5.8,921,4.2,5.3,4.2,2.7,100,100,8.6,1.8,,,,,,,,
2008-09-06,null,918.2,6.9,9.4,7.3,4.2,97.5,89,18.4,4.3,,,,,,,,
2008-09-07,2.2,923.3,3,7.7,null,2.8,86,74,19.3,5.7,,,,,,,,
2008-09-08,null,926.5,5.6,13.1,null,2.5,83.3,61,8.1,2.1,,,,,,,,
2008-09-09,0,924.3,9.8,20.3,13.8,8.3,78,55,9.2,3.8,,,,,,,,
2008-09-10,0,922.3,13.9,25.3,16.9,12.4,84,57,24.2,4,,,,,,,,
2008-09-11,38.2,919.6,14.8,18.9,15.9,14,93.4,76,18.5,3.8,,,,,,,,
2008-09-12,33,921.1,11.8,15.7,12.1,12.1,98.1,88,12.2,2.5,,,,,,,,
2008-09-13,12.4,923.8,5,10.4,6.5,4.7,91,60,8.7,1.8,,,,,,,,
2008-09-14,null,null,null,null,null,4.3,null,65,6.7,null,,,,,,,,
2008-09-15,null,null,null,null,null,null,null,null,null,null,,,,,,,,
2008-09-16,null,null,null,null,null,null,null,null,null,null,,,,,,,,
2008-09-17,null,null,null,null,null,null,null,null,null,null,,,,,,,,
2008-09-18,null,null,null,null,null,null,null,null,null,null,,,,,,,,
2008-09-19,null,null,null,null,null,null,null,null,null,null,,,,,,,,
2008-09-20,null,null,null,null,null,null,null,null,null,null,,,,,,,,
2008-09-21,null,null,null,null,null,null,null,null,null,null,,,,,,,,
2008-09-22,null,null,null,null,null,null,null,null,null,null,,,,,,,,
2008-09-23,null,null,null,null,null,null,null,83,7,null,,,,,,,,
2008-09-24,null,926.5,7.9,17,11.5,6.7,79.9,61,11.2,2.5,,,,,,,,
2008-09-25,0,926,8.2,19.9,12.6,7.8,75.9,44,10.9,4.4,,,,,,,,
2008-09-26,0,923.3,9.7,20,13.3,10.4,80.1,51,10.8,4.4,,,,,,,,
2008-09-27,0,922.8,9.7,18.8,13.7,10.4,77.6,57,14.2,4.8,,,,,,,,
2008-09-28,0,923.9,10.4,21.1,14.9,11,75.5,54,13.4,5.6,,,,,,,,
2008-09-29,0,923.4,10.4,22,15.6,11.5,72.8,43,13.9,5.1,,,,,,,,
2008-09-30,11.8,920.8,12.7,19,14.8,11.7,87.3,68,7.6,2.5,,,,,,,,
2008-10-01,.2,916.9,14.6,23.2,16.9,12.7,87.2,54,7.8,2.5,,,,,,,,
2008-10-02,10,914.1,13.7,21.7,16.7,14.3,84.4,50,10.9,3.2,,,,,,,,
2008-10-03,0,919.1,8.6,19.8,13.6,7,73.5,48,9.7,1.7,,,,,,,,
2008-10-04,1.6,918.7,11.7,18.6,14.4,11.2,85.5,45,12.2,2.4,,,,,,,,
2008-10-05,15,920.5,10.3,15,11.1,8.8,95,69,12.7,1.8,,,,,,,,
2008-10-06,.4,924.7,8,18.4,11.8,5.9,80.1,33,6,1.3,,,,,,,,
2008-10-07,.2,928.7,7.8,18.5,11.8,7.7,78,33,9.2,1.9,,,,,,,,
2008-10-08,2.4,932.1,4.8,14.6,8.1,2.9,81,60,10.1,2.3,,,,,,,,
2008-10-09,0,928.5,5.9,17.6,11.2,7.2,71.2,49,13.4,5.2,,,,,,,,
2008-10-10,0,923.5,8.8,22.5,14.9,8.3,69.3,41,15.5,4.8,,,,,,,,
2008-10-11,6.4,921.4,12.6,15.6,14.4,13.1,88.7,79,12.4,5,,,,,,,,
2008-10-12,17.2,920.5,14.7,24.6,18.5,13.4,80.2,55,9.2,3.7,,,,,,,,
2008-10-13,0,920.5,16,25,19.1,17,82.7,58,10,3.4,,,,,,,,
2008-10-14,11.2,919.3,15.1,20.6,17.1,16.3,88.2,71,12.7,3.1,,,,,,,,
2008-10-15,19.4,920.8,15.3,17.7,16.1,14.3,95.3,90,8.9,2.4,,,,,,,,
2008-10-16,17.2,924.2,14.1,16.5,14.3,14.7,99,98,11.5,1.6,,,,,,,,
2008-10-17,26.2,924.7,10.8,13.2,11.6,10.7,94.6,87,9.3,2.3,,,,,,,,
2008-10-18,4.6,923.7,10.6,13.6,11.4,10.4,94.5,82,8.2,1.9,,,,,,,,
2008-10-19,.2,924.9,10.2,21.4,14.5,9.9,76,52,11.9,3.9,,,,,,,,
2008-10-20,0,925.2,11.1,23.9,16.8,11.4,71.4,42,12.1,4.9,,,,,,,,
